text,intent,source,clean_text
Tell me about the minority scholarship scheme.,scholarships,original,tell me about the minority scholarship scheme
Tell me about the minority scholarship shceme thank you,scholarships,augmented,tell me about the minority scholarship shceme thank you
tell me about the minority scholarship scheme.,scholarships,augmented,tell me about the minority scholarship scheme
"hey, tell me about the minority scholarship scheme thank you",scholarships,augmented,hey tell me about the minority scholarship scheme thank you
"excuse me, tell me about the minority scholarship scheme.",scholarships,augmented,excuse me tell me about the minority scholarship scheme
please help: tell me about the minority scholarship sheme,scholarships,augmented,please help tell me about the minority scholarship sheme
Where can I apply for a character certificate?,certificates,original,where can i apply for a character certificate
"hey, where can I apply for a charaacter certificate thanks",certificates,augmented,hey where can i apply for a charaacter certificate thanks
"hello, where can I apply for a character certificate",certificates,augmented,hello where can i apply for a character certificate
where can i apply for a character certificate,certificates,augmented,where can i apply for a character certificate
"madam, where can i apply for a characteer certificate",certificates,augmented,madam where can i apply for a characteer certificate
How can faculty upload attendance for a batch?,attendance,original,how can faculty upload attendance for a batch
how can faculty upload attendance for a batch kindly guide me,attendance,augmented,how can faculty upload attendance for a batch kindly guide me
How can fcaulty upload attedance for a batch thanks,attendance,augmented,how can fcaulty upload attedance for a batch thanks
how can faculty upload attendance for a batch,attendance,augmented,how can faculty upload attendance for a batch
"hello, how can faculty upload atetndance for a btach thanks",attendance,augmented,hello how can faculty upload atetndance for a btach thanks
"hi, how can faculty upload attendance for a batch please",attendance,augmented,hi how can faculty upload attendance for a batch please
Are calculators allowed in the end semester examination?,examinations,original,are calculators allowed in the end semester examination
Are calculatoors allowed in the end semester exaamination,examinations,augmented,are calculatoors allowed in the end semester exaamination
are caculators allowed in the end semester examination,examinations,augmented,are caculators allowed in the end semester examination
Are calculators alloweed in the end semester examination?,examinations,augmented,are calculators alloweed in the end semester examination
please help: are calculators allowed in the end semester examination?,examinations,augmented,please help are calculators allowed in the end semester examination
are calculators allowed in the end semester examination thank you,examinations,augmented,are calculators allowed in the end semester examination thank you
How much is the fee for the second year?,fees,original,how much is the fee for the second year
please help: how much is the fee for the second year thank you,fees,augmented,please help how much is the fee for the second year thank you
how much is the fee for the second year?,fees,augmented,how much is the fee for the second year
How much is the fee for the secnd year asap,fees,augmented,how much is the fee for the secnd year asap
how much is the fee for the second year thank you,fees,augmented,how much is the fee for the second year thank you
My student ID card got stolen yesterday.,id_cards,original,my student id card got stolen yesterday
urgent: my student id card got stolen yesterday.,id_cards,augmented,urgent my student id card got stolen yesterday
my student id card got stolen yesterday.,id_cards,augmented,my student id card got stolen yesterday
"hi, my student id card got stolen yesterday thanks",id_cards,augmented,hi my student id card got stolen yesterday thanks
My student ID card got stolen yestrday.,id_cards,augmented,my student id card got stolen yestrday
"excuse me, my student ID card got stolen yesterday.",id_cards,augmented,excuse me my student id card got stolen yesterday
How do I apply for attendance condonation?,attendance,original,how do i apply for attendance condonation
urgent: how do I apply for attendance condonation please,attendance,augmented,urgent how do i apply for attendance condonation please
How do I apply for attendance condonation,attendance,augmented,how do i apply for attendance condonation
"sir, how do i apply for attendace condonation thank you",attendance,augmented,sir how do i apply for attendace condonation thank you
