text,intent,source,group,n_tokens
"I forgot my library card at home, can I still enter the campus?",id_cards,template,"id_cards::I forgot my {card} at home, can I still enter the campus?",13
whlt is the process to apply for a banafide cert?,certificates,augmented,certificates::What is the process to apply for a {cert}?,10
Is the caste cert mandatory for the fee waiver? It is urgent.,scholarships,augmented,scholarships::Is the {sdoc} mandatory for the {sch}?,12
Is payment of the re-registration fee by cash at the accounts office accepted at the accounts office?,fees,template,fees::Is payment of the {fee} by {mode} accepted at the accounts office?,17
The result shows me absent for DBMS even though I appeared.,examinations,template,examinations::The result shows me absent for {subject} even though I appeared.,11
"Hey, what is the minimum attendance required to appear for exams? Thanks.",attendance,template,attendance::What is the minimum attendance required to appear for exams?,12
My registration for the fall semester is stuck at pending approval from the faculty advisor. My roll number is J143.,academic_registration,template,academic_registration::My registration for {term} is stuck at pending approval from the faculty advisor.,20
I am a final year MBA student. Is GST charged on the development fee? Any help is appreciated.,fees,template,fees::Is GST charged on the {fee}?,18
Tell me the procedure for obtaining a degree certificate.,certificates,template,certificates::Tell me the procedure for obtaining a {cert}.,9
What is the amount of the freeship?,scholarships,template,scholarships::What is the amount of the {sch}?,7
Can I pay the exam fee via demand draft?,fees,seed,seed::11::fees,9
Please guide me on getting a provisional degree certificate.,certificates,template,certificates::Please guide me on getting a {cert}.,9
Can I get an unofficial provisional transcript instantly?,transcripts,template,transcripts::Can I get an unofficial {doc} instantly?,8
Do I have to pay the library fee again after taking a break?,fees,template,fees::Do I have to pay the {fee} again after taking a break?,13
Where do I apply for a duplicate studnet ID card? Thank you,id_cards,augmented,id_cards::Where do I apply for a duplicate {card}?,12
Where do I apply for a duplicate hostel ID card? Please help.,id_cards,template,id_cards::Where do I apply for a duplicate {card}?,12
How do I get a change of exam centre for the makeup exam? I am in final year.,examinations,template,examinations::How do I get a change of exam centre for the {exam}?,18
"As a final year student, can I get an unofficial official transcript instantly?",transcripts,template,transcripts::Can I get an unofficial {doc} instantly?,13
Quick question: how is attendance calculated for the semester?,attendance,template,attendance::How is attendance calculated for the semester?,9
how do i apply for a double occpancy room?,hostel,augmented,hostel::How do I apply for a {room}?,9
what's the avrage battery life of an android phone,out_of_scope,augmented,clinc::what's the average battery life of an android phone,9
"I need a mark statement for WES, what is the procedure? Thank you.",transcripts,template,"transcripts::I need a {doc} for {dest}, what is the procedure?",13
"Hello, what is the last date to fill the form for the supplementary exam?",examinations,template,examinations::What is the last date to fill the form for the {exam}?,14
Please guide me on getting a degree certificate. I am in semester 1.,certificates,template,certificates::Please guide me on getting a {cert}.,13
how many people live in taiwan,out_of_scope,clinc150,clinc::how many people live in taiwan,6
"I need a degree transcript for a university in Canada, wat is the procedure",transcripts,augmented,"transcripts::I need a {doc} for {dest}, what is the procedure?",14
i am a faculty mjmber in civil. i want a refund of my tuition fee. any help is appreciated.,fees,augmented,fees::I want a refund of my {fee}.,19
How much does a consolidated marksheet cost? I am in semester 1.,transcripts,template,transcripts::How much does a {doc} cost?,12
How can I drop the minor program after registering? It is urgent.,academic_registration,template,academic_registration::How can I drop the {course} after registering?,12
